k, n, p, q, poverq, eigenvectors, conductance, rand
16, 1000, 0.01, 0.004, 2.5, 12, 0.6139590885652924, 0.9898368374585911
16, 1000, 0.01, 0.004, 2.5, 13, 0.6129689610725608, 0.9859227381398838
16, 1000, 0.01, 0.004, 2.5, 14, 0.6130942126357395, 0.9833626414150884
16, 1000, 0.01, 0.004, 2.5, 15, 0.6132854949970361, 0.9817644134008374
16, 1000, 0.01, 0.004, 2.5, 16, 0.6186157800316402, 0.9791218974623414
16, 1000, 0.01, 0.005, 2.0, 1, 0.9914707958176827, 0.8685824301518844
16, 1000, 0.01, 0.005, 2.0, 2, 0.8525380703751514, 0.9263902314207139
16, 1000, 0.01, 0.005, 2.0, 3, 0.6729019253889771, 0.9968876250078129
16, 1000, 0.01, 0.005, 2.0, 4, 0.6713759007796307, 0.9927026907931747
16, 1000, 0.01, 0.005, 2.0, 5, 0.6873053818087355, 0.9955585075629727
16, 1000, 0.01, 0.005, 2.0, 6, 0.6701470397711119, 0.9989458020813802
16, 1000, 0.01, 0.005, 2.0, 7, 0.6696076097890843, 0.9974718669916871
16, 1000, 0.01, 0.005, 2.0, 8, 0.6695044131274341, 0.9967432737983624
16, 1000, 0.01, 0.005, 2.0, 9, 0.6684744586849801, 0.9958460153759608
16, 1000, 0.01, 0.005, 2.0, 10, 0.6648444989262412, 0.9952783689605601
16, 1000, 0.01, 0.005, 2.0, 11, 0.6641965600827383, 0.9879132289518096
16, 1000, 0.01, 0.005, 2.0, 12, 0.6618347869636303, 0.9823563582098881
16, 1000, 0.01, 0.005, 2.0, 13, 0.6603424657190115, 0.9743686386649166
16, 1000, 0.01, 0.005, 2.0, 14, 0.6611066446234328, 0.9726917869866867
16, 1000, 0.01, 0.005, 2.0, 15, 0.6586599929226808, 0.969245287986749
16, 1000, 0.01, 0.005, 2.0, 16, 0.6579669815594631, 0.9638435128758047
16, 1000, 0.01, 0.006, 1.6666666666666667, 1, 0.9923177568694486, 0.8682326317269832
16, 1000, 0.01, 0.006, 1.6666666666666667, 2, 0.8585880226972191, 0.9305678268954309
16, 1000, 0.01, 0.006, 1.6666666666666667, 3, 0.7105594838716692, 0.9976426550096882
16, 1000, 0.01, 0.006, 1.6666666666666667, 4, 0.709619644045748, 0.9934363803987749
16, 1000, 0.01, 0.006, 1.6666666666666667, 5, 0.7106858088417268, 0.996810778798675
16, 1000, 0.01, 0.006, 1.6666666666666667, 6, 0.7085266346966148, 0.9989816457278579
16, 1000, 0.01, 0.006, 1.6666666666666667, 7, 0.7078616204667695, 0.9968205637852364
16, 1000, 0.01, 0.006, 1.6666666666666667, 8, 0.7076419236235925, 0.9960067558909931
16, 1000, 0.01, 0.006, 1.6666666666666667, 9, 0.7077913769896875, 0.9944217162010126
16, 1000, 0.01, 0.006, 1.6666666666666667, 10, 0.7019918526661103, 0.9937634149009312
16, 1000, 0.01, 0.006, 1.6666666666666667, 11, 0.70129543817071, 0.987801138352397
16, 1000, 0.01, 0.006, 1.6666666666666667, 12, 0.6998599571376672, 0.9845163564910309
16, 1000, 0.01, 0.006, 1.6666666666666667, 13, 0.6976839576658158, 0.9741928893993373
16, 1000, 0.01, 0.006, 1.6666666666666667, 14, 0.694658034156771, 0.9710672924870304
16, 1000, 0.01, 0.006, 1.6666666666666667, 15, 0.6941312123206929, 0.9666911431964497
16, 1000, 0.01, 0.006, 1.6666666666666667, 16, 0.6909858731509748, 0.9625614991561973
16, 1000, 0.01, 0.007, 1.4285714285714286, 1, 0.9919510719188912, 0.8692138633664606
16, 1000, 0.01, 0.007, 1.4285714285714286, 2, 0.8684417246503612, 0.9308443058941183
16, 1000, 0.01, 0.007, 1.4285714285714286, 3, 0.7410593189810014, 0.9981582692668292
16, 1000, 0.01, 0.007, 1.4285714285714286, 4, 0.7402925409928816, 0.9939091185386587
16, 1000, 0.01, 0.007, 1.4285714285714286, 5, 0.7509754213581973, 0.9960902439214951
16, 1000, 0.01, 0.007, 1.4285714285714286, 6, 0.7394811544815894, 0.9989817769860615
16, 1000, 0.01, 0.007, 1.4285714285714286, 7, 0.7391911603854381, 0.9960009133383336
16, 1000, 0.01, 0.007, 1.4285714285714286, 8, 0.7384039423509453, 0.9952122812363273
16, 1000, 0.01, 0.007, 1.4285714285714286, 9, 0.7372511789410912, 0.9932540424401527
16, 1000, 0.01, 0.007, 1.4285714285714286, 10, 0.7305316555665233, 0.9920568183948998
16, 1000, 0.01, 0.007, 1.4285714285714286, 11, 0.7296481828313168, 0.9842181847302957
16, 1000, 0.01, 0.007, 1.4285714285714286, 12, 0.7290660953116819, 0.9832648938996188
16, 1000, 0.01, 0.007, 1.4285714285714286, 13, 0.729060660086392, 0.9773579731545723
16, 1000, 0.01, 0.007, 1.4285714285714286, 14, 0.7293769415519421, 0.9756536767922995
16, 1000, 0.01, 0.007, 1.4285714285714286, 15, 0.7272865589189013, 0.9725024196824801
